Rank,Title,Rating,Genre,Members,Type,Episodes,Licensor,Studio,Source,Duration,Premiered,Favorites
1,Fullmetal Alchemist: Brotherhood,9.17,"Action, Military, Adventure, Comedy, Drama, Magic, Fantasy, Shounen","25,34,840",TV,64," Funimation, Aniplex of America", Bones, Manga, 24 min. ,Spring 2009,"1,80,194"
2,Shingeki no Kyojin Season 3 Part 2,9.11,"Action, Drama, Fantasy, Military, Mystery, Shounen, Super Power","14,40,398",TV,10, Funimation, Wit Studio, Manga, 23 min. ,Spring 2019,"41,251"
3,Steins;Gate,9.1,"Sci-Fi, Psychological, Drama, Thriller","19,88,573",TV,24, Funimation, White Fox, Visual novel, 24 min. ,Spring 2011,"1,53,226"
4,Fruits Basket: The Final,9.1,"Slice of Life, Comedy, Supernatural, Drama, Romance, Shoujo","2,19,428",TV,13, Funimation, TMS Entertainment, Manga, 23 min. ,Spring 2021,"9,072"
5,Gintama°,9.09,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","4,55,835",TV,51," Funimation, Crunchyroll", Bandai Namco Pictures, Manga, 24 min. ,Spring 2015,"11,740"
6,Hunter x Hunter (2011),9.07,"Action, Adventure, Fantasy, Shounen, Super Power","19,99,750",TV,148, VIZ Media, Madhouse, Manga, 23 min. ,Fall 2011,"1,54,575"
7,Ginga Eiyuu Densetsu,9.06,"Military, Sci-Fi, Space, Drama","2,52,288",OVA,110, Sentai Filmworks," K-Factory, Kitty Film Mitaka Studio", Novel, 26 min. ,Null,"13,243"
8,Gintama',9.06,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","4,06,132",TV,51," None found, add some", Sunrise, Manga, 24 min. ,Spring 2011,"6,090"
9,Gintama': Enchousen,9.04,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,46,557",TV,13," None found, add some", Sunrise, Manga, 24 min. ,Fall 2012,"2,425"
10,3-gatsu no Lion 2nd Season,8.99,"Drama, Game, Seinen, Slice of Life","3,05,858",TV,22, Aniplex of America, Shaft, Manga, 25 min. ,Fall 2017,"12,282"
11,Gintama.,8.98,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","2,30,086",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2017,"2,194"
12,Koe no Katachi,8.98,"Drama, School, Shounen","16,49,174",Movie,1," Eleven Arts, NYAV Post", Kyoto Animation, Manga, 2 hr. 10 min.,Null,"62,989"
13,Shingeki no Kyojin: The Final Season,8.97,"Action, Military, Mystery, Super Power, Drama, Fantasy, Shounen","11,97,276",TV,16, Funimation, MAPPA, Manga, 23 min. ,Winter 2021,"45,630"
14,Clannad: After Story,8.95,"Slice of Life, Comedy, Supernatural, Drama, Romance","9,88,243",TV,24, Sentai Filmworks, Kyoto Animation, Visual novel, 24 min. ,Fall 2008,"61,824"
15,Gintama,8.95,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","8,39,036",TV,201," Sentai Filmworks, Crunchyroll", Sunrise, Manga, 24 min. ,Spring 2006,"48,648"
16,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,8.94,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,85,993",Movie,1," None found, add some", Sunrise, Manga, 1 hr. 50 min.,Null,"1,862"
17,Kimi no Na wa.,8.92,"Romance, Supernatural, School, Drama","20,25,638",Movie,1," Funimation, NYAV Post", CoMix Wave Films, Original, 1 hr. 46 min.,Null,"71,893"
18,Owarimonogatari 2nd Season,8.92,"Mystery, Comedy, Supernatural, Vampire","3,06,185",TV,7, Aniplex of America, Shaft, Light novel, 22 min. ,Summer 2017,"6,796"
19,Code Geass: Hangyaku no Lelouch R2,8.91,"Action, Military, Sci-Fi, Super Power, Drama, Mecha","14,02,298",TV,25," Funimation, Bandai Entertainment", Sunrise, Original, 24 min. ,Spring 2008,"64,176"
20,Shiguang Dailiren,8.89,"Super Power, Drama, Fantasy","49,829",ONA,11, Funimation, Haoliners Animation League, Original, 23 min. ,Null,"1,349"
21,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,8.87,"Action, Sci-Fi, Comedy, Historical, Parody, Samurai, Shounen","1,34,601",TV,14," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Summer 2018,840
22,Violet Evergarden Movie,8.85,"Slice of Life, Drama, Fantasy","2,76,925",Movie,1, Funimation, Kyoto Animation, Light novel, 2 hr. 20 min.,Null,"2,098"
23,Gintama: The Final,8.84,"Action, Sci-Fi, Comedy, Historical, Parody, Drama, Samurai, Shounen","49,042",Movie,1, Eleven Arts, Bandai Namco Pictures, Manga, 1 hr. 44 min.,Null,"1,020"
24,Haikyuu!!: Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,8.82,"Comedy, Sports, Drama, School, Shounen","8,70,275",TV,10, Sentai Filmworks, Production I.G, Manga, 24 min. ,Fall 2016,"12,780"
25,Mob Psycho 100 II,8.82,"Action, Slice of Life, Comedy, Supernatural","10,09,224",TV,13, Funimation, Bones, Web manga, 24 min. ,Winter 2019,"22,801"
26,Gintama.: Shirogane no Tamashii-hen,8.81,"Action, Comedy, Historical, Parody, Samurai, Sci-Fi, Shounen","1,47,803",TV,12," None found, add some", Bandai Namco Pictures, Manga, 24 min. ,Winter 2018,938
27,Kizumonogatari III: Reiketsu-hen,8.81,"Action, Mystery, Supernatural, Vampire","3,50,977",Movie,1, Aniplex of America, Shaft, Light novel, 1 hr. 23 min.,Null,"5,555"
28,Odd Taxi,8.8,Mystery,"1,28,979",TV,13," None found, add some"," OLM, P.I.C.S.", Original, 23 min. ,Spring 2021,"2,254"
29,Sen to Chihiro no Kamikakushi,8.8,"Adventure, Supernatural, Drama","14,11,645",Movie,1," Walt Disney Studios, GKIDS", Studio Ghibli, Original, 2 hr. 4 min.,Null,"24,631"
30,Monster,8.79,"Drama, Horror, Mystery, Police, Psychological, Seinen, Thriller","7,12,901",TV,74, VIZ Media, Madhouse, Manga, 24 min. ,Spring 2004,"30,135"
31,Monogatari Series: Second Season,8.78,"Mystery, Comedy, Supernatural, Romance, Vampire","5,53,595",TV,26, Aniplex of America, Shaft, Light novel, 24 min. ,Summer 2013,"20,555"
32,Fate/stay night Movie: Heaven's Feel - III. Spring Song,8.78,"Action, Supernatural, Magic, Fantasy","1,99,001",Movie,1, Aniplex of America, ufotable, Visual novel, 2 hr. 2 min.,Null,"4,617"
